time,open,high,low,close,tick_volume,spread,real_volume,volume
2025.04.30 19:00,19437.2,19508.01,19336.9,19481.01,17700.0,0,0,
2025.04.30 20:00,19477.72,19580.12,19447.12,19472.88,18510.0,0,0,
2025.04.30 21:00,19474.11,19713.32,19467.82,19639.32,18346.0,0,0,
2025.04.30 22:00,19639.57,19876.09,19593.62,19844.43,12648.0,0,0,
2025.05.01 00:00,19833.57,19933.79,19810.66,19903.0,7466.0,0,0,
2025.05.01 01:00,19902.77,19932.82,19867.54,19916.57,6265.0,0,0,
2025.05.01 02:00,19916.83,19953.99,19912.79,19946.32,6750.0,0,0,
2025.05.01 03:00,19945.78,19950.58,19910.78,19928.09,5016.0,0,0,
2025.05.01 04:00,19928.03,19949.38,19908.04,19913.33,3604.0,0,0,
2025.05.01 05:00,19912.76,19962.28,19907.04,19956.32,4610.0,0,0,
2025.05.01 06:00,19956.82,19966.38,19933.52,19940.61,3527.0,0,0,
2025.05.01 07:00,19940.95,19972.56,19918.27,19920.06,4994.0,0,0,
2025.05.01 08:00,19920.79,19947.01,19914.76,19921.76,5319.0,0,0,
2025.05.01 09:00,19920.47,19975.24,19900.95,19955.24,6263.0,0,0,
2025.05.01 10:00,19955.45,19986.45,19931.2,19982.99,6434.0,0,0,
2025.05.01 11:00,19983.24,20022.92,19972.76,20016.25,6073.0,0,0,
2025.05.01 12:00,20015.75,20026.75,19982.7,20001.97,6613.0,0,0,
2025.05.01 13:00,20002.24,20026.22,19979.99,20008.95,8141.0,0,0,
2025.05.01 14:00,20008.47,20033.75,19948.95,19953.24,11042.0,0,0,
2025.05.01 15:00,19953.25,19991.01,19859.7,19859.7,17721.0,0,0,
2025.05.01 16:00,19907.54,20072.26,19867.49,20071.72,19831.0,0,0,
2025.05.01 17:00,20072.25,20124.5,19932.47,19961.65,18712.0,0,0,
2025.05.01 18:00,19961.51,19998.72,19909.2,19941.71,18109.0,0,0,
2025.05.01 19:00,19941.49,20027.75,19939.01,19981.0,16541.0,0,0,
2025.05.01 20:00,19981.26,20047.86,19976.32,20008.13,15565.0,0,0,
2025.05.01 21:00,20008.08,20021.87,19857.58,19876.61,16833.0,0,0,
2025.05.01 22:00,19872.32,19917.17,19756.87,19796.17,11264.0,0,0,
2025.05.02 00:00,19782.0,19796.32,19749.26,19787.28,5140.0,0,0,
2025.05.02 01:00,19787.54,19825.72,19776.83,19789.31,5099.0,0,0,
2025.05.02 02:00,19789.33,19967.81,19754.56,19942.33,10531.0,0,0,
2025.05.02 03:00,19942.04,19980.78,19914.72,19928.28,9496.0,0,0,
2025.05.02 04:00,19928.28,19970.09,19906.53,19958.29,7051.0,0,0,
2025.05.02 05:00,19958.04,19986.03,19952.08,19976.53,4650.0,0,0,
2025.05.02 06:00,19976.54,20000.57,19960.32,19984.28,5260.0,0,0,
2025.05.02 07:00,19984.32,19987.79,19939.78,19949.27,5864.0,0,0,
2025.05.02 08:00,19949.06,19949.06,19882.76,19930.01,7666.0,0,0,
2025.05.02 09:00,19929.72,19958.22,19901.45,19901.97,10321.0,0,0,
2025.05.02 10:00,19902.21,19949.01,19866.7,19869.51,9215.0,0,0,
2025.05.02 11:00,19869.22,19933.44,19863.5,19918.5,8125.0,0,0,
2025.05.02 12:00,19917.7,19954.21,19908.95,19931.99,7720.0,0,0,
2025.05.02 13:00,19931.71,19957.0,19901.22,19917.7,8531.0,0,0,
2025.05.02 14:00,19917.5,20104.76,19910.72,20094.21,13077.0,0,0,
2025.05.02 15:00,20094.45,20140.67,20019.74,20072.99,19415.0,0,0,
2025.05.02 16:00,20069.75,20179.49,20060.96,20165.2,19794.0,0,0,
2025.05.02 17:00,20164.95,20205.46,20127.19,20196.65,16762.0,0,0,
2025.05.02 18:00,20196.21,20264.75,20192.21,20240.75,17034.0,0,0,
2025.05.02 19:00,20240.46,20252.49,20195.99,20225.26,15476.0,0,0,
2025.05.02 20:00,20224.74,20275.88,20198.63,20220.58,14615.0,0,0,
2025.05.02 21:00,20220.11,20234.36,20152.07,20183.11,17073.0,0,0,
2025.05.05 00:00,20180.97,20187.71,20107.33,20114.54,6096.0,0,0,
2025.05.05 01:00,20114.28,20121.27,20052.57,20084.49,6087.0,0,0,
2025.05.05 02:00,20084.54,20110.06,20068.29,20102.79,6127.0,0,0,
2025.05.05 03:00,20102.83,20102.83,19991.11,20003.7,7886.0,0,0,
2025.05.05 04:00,20003.46,20049.96,19994.82,20034.53,5870.0,0,0,
2025.05.05 05:00,20035.03,20073.06,20021.57,20056.81,5280.0,0,0,
2025.05.05 06:00,20056.06,20058.82,20017.77,20035.72,4786.0,0,0,
